,Number,Names
379860,379861, Everything perfect Very nice staff all facilities are very new and comfortable Its located in front of tram station 
379868,379869, Clean friendly staff tram stop directly outside front door and train station 5min walk or one stop on the tram 
379875,379876, Friendly staff really good breakfast buffet on site parking very reasonable Easy to reach by car 
379918,379919, The staff were extremely friendly and went out of their way to help us 
379926,379927, The staff were fabulous All small requests and queries were dealt with in the most polite and efficient manner With such great service all the little luxuries are a bonus
379930,379931, The staff were very helpful our flight was cancelled last minute after we had stayed for 5 days we weren t able to get a flight home for another 5 days The reception staff were very sympathetic and helpful in being able to put us up for another 4 nights 
379942,379943, The food was amazing Just a shame the staff aren t as nice as the food
379992,379993, Comfortable stay for a long weekend very nice shower and also toiletries staff very happy to help very nice stay over all 
380003,380004, Fantastic breakfast and friendly staff at reception
380008,380009, Most of the staff were friendly and very helpful The tram stop outside was a bonus 
380023,380024, Great breakfast buffet Friendly staff Quiet Convenient to tram
380028,380029, Breakfast was amazing staff helpful and able to hold our bags even after check out Beds were comfy we slept well Thank you
380029,380030, The breakfast worth the money and the bed is really comfort Oh the staffs are really nice 
380038,380039, Enjoyed the buffet breakfast beds were very comfy pleasant staff Amazing shower 
380068,380069, Expensive breakfast as we did not get the 20 discount that I thought we had booked in advance online Trams easy to city centre Very dated all 70 s brown and mirrors Decent helpful staff 
380152,380153, The reception staff were amazing Very helpful and knowledgeable 
380157,380158, The staff were so friendly The free wifi is a bonus also and the wifi was really fast 
380165,380166, The very helpful staff made our day when we needed help tracking down or luggage from the airline 
380187,380188, Evening meal was very nice and great value staff were friendly and helpful would definitely stay here again
380214,380215, The staff was excellent The receptionist was a very nice girl very prudent and can speak fluent english 
380227,380228, Excellent staff clean facilities extra pillows and tourist information Just a little outside of the main city but within 1 2 miles of everythings Also within 20 minutes or less bike ride to everything If you want to stay in a confortable and quiet place but still enjoy the Amsterdam night life this is the right place 
380240,380241, The staff were very friendly and helpful every member had a smile and a greeting I could not praise them enough
380291,380292, I loved the whole facility the staff made you feel at home and it s very modern
380315,380316, lovely staff clean exceptional view easy access to tram and train 
380327,380328, Very helpful staff plenty of choices on buffet breakfast If you find there is nothing for you then you are extremely fussy Couldn t fault at all Easy to get round by trams would highly recommend
380403,380404, The place was clean and the staff were very friendly 
380410,380411, Everything Nothing not to like The staff were friendly professional and courteous The ease of access to the city centre The selection of food was very good both for breakfast and dinner 
